,1,2,3
e755a897-89c4-5d41-9345-5b17d0a3f6a1,3510,3602,109
10d60828-e21e-5c2f-9996-0f88ce714df2,3602,828,3471
98b097cd-0661-577d-8a4a-d95915b0083f,3478,3473,523
12a2ad23-41e5-5249-987a-c8a617156b6b,3475,2393,3474
85582453-5669-55d2-a977-e38aba507a6d,828,2393,2794
e47defc2-ca8e-599b-a175-8f921dc876aa,3602,3055,2794
050cc356-1c0c-5102-9ac2-a94526760e89,2393,3475,3611
798549ef-bae8-54fe-b0b0-fc5330fb4f0d,474,3478,828
487f79c8-ce74-56fe-81c0-0c2dc01827e5,3602,1655,3475
cc586c12-d9e3-5c9b-8d9e-2f70e0fe464e,3475,3553,828
7b976cd9-bd1e-5f15-af19-bf7cd9e451ff,523,109,2393
708e1779-34a0-561a-8730-6edac8b2ea82,3553,3254,3474
98967f3e-3a82-5b8d-b265-e9cc1eac5e71,3553,3607,3478
dc1b333f-bb13-5d99-9cc1-3920da496b16,3602,1016,1435
8ff5665f-3661-5923-8849-cd3d274b516d,3474,3472,3473
c7d8834c-ffe9-558a-912a-0e8ba9548097,3473,2339,3474
15711599-2435-5939-91e3-47799a7ebf76,2393,3473,3478
b6f11525-3d3f-5c82-be97-1daff3c819d2,2393,3473,3478
c8d8d2d3-1eef-5f22-ba65-a04e08175de6,3607,3474,3611
6e4389b2-764e-59f1-b262-09b1832eda1f,3478,3473,181
fca78f05-4e1c-51e9-b605-f64f1627b4aa,827,3602,95
c541b1ba-c9e6-5ed1-b4ad-0856b2671c5b,3478,3510,3472
ba9c3235-6789-5e6c-8f00-d92c89813e09,3607,181,109
615ad241-72f9-5b2e-837f-7e2beeba6e0f,828,3478,3602
088aac3b-465c-5ac8-aa41-af84c721bba0,1016,3474,523
13203d03-847f-52cd-b1d2-5e6cdc95bf88,474,3478,1016
7f6651ba-b023-5178-9802-9ecb441a6617,181,3510,3478
3d46f66c-5fcc-5e2f-b1d4-777c4f05015d,3473,3611,3553
87ef5710-b6c8-5153-89eb-806a98a15d1a,828,2339,3474
44a03cf0-fa31-511c-9ed7-391593147c0d,474,3475,827
d5207da2-c99f-551f-a2b9-48effee0f14b,3478,474,3475
ea32d233-79ab-5846-8395-c5c53bca7166,3475,2339,1044
65536e61-6698-5323-9ec8-e6a7c868c274,828,181,3478
385698c2-2c9d-51c3-aa37-6f6aa71234ca,3253,828,2339
76fd108b-dcd7-5cf0-ac29-1a3da068e35b,3611,3474,2393
53a2f96b-8c6a-5c49-bfec-ff4839b10e8b,109,828,2339
af295b7e-47ce-5df6-ab38-d983cf11d962,828,2752,3611
849a74b3-b474-5581-8e75-679939aa8034,3611,828,1655
7370e00f-9f14-550d-bb05-86d2acd3ff34,3478,3611,828
b3ea30ab-162f-554b-83b9-5e543f02526c,3478,3473,3553
0534afe2-13bc-5e53-badb-d99c8bf15d46,3478,3472,828
3ecb1c34-3a59-5b5a-8fb9-93a292028e4d,3478,828,3602
e956603f-36f5-5e89-bcd7-6346ea8acc3c,3602,3476,3607
0b98ab57-b57d-5497-889b-95e211419d34,3602,828,3474
e09d8c2f-8e95-523c-8086-28b98d7f1f36,3055,1435,828
bf1b8ef5-4866-56f8-99d5-ffc6eb352d99,3611,3607,3475
679539ba-afae-5512-a583-13622600393a,3474,186,3472
86c9b909-6463-5d9b-8e87-bca808e552e8,3478,828,3475
10ade638-b548-50b5-86d5-905f3d4bda2b,3607,3478,828
5915798f-9929-54de-9a8e-c99b5cf45790,3510,3478,186
8636c350-9b21-5ef0-9312-3daf74193359,828,181,3253
c0b5cb4a-ea4b-5371-abd5-502a82e9034e,3478,3476,3475
67ef05ad-8cbb-546e-932d-ed7c94e9dfa9,3602,3510,3478
4138518a-1b6a-54cc-88c1-7fbfd26527e2,3055,3475,3025
aa2a8a7b-01ea-5b5e-af3e-83dacd5d26cd,3055,3025,828
b638be04-7987-5ca0-8d1b-99fa17c25e3d,3607,3475,3474
eb320063-0ecd-5d29-966f-6adec3953c6a,3602,3474,827
e1d6571d-a8d7-5bc9-9c34-323522b82aea,3475,1655,3607
0f82cc61-dbe4-52e8-bf2c-299d642dd0ac,181,3510,2794
e1e58ce6-e884-5e55-9828-f43cbd4b5856,3474,3473,2794
5ed2f8ed-190e-5d47-93df-ee020cc40d9b,3055,828,3473
ba92d536-61ed-5dd0-a903-88fedf84c3c4,1655,2339,3476
ca258317-ab12-5632-a42a-e9dd03fc1035,3478,3472,3510
9aebc687-f7a8-5034-b4ac-1fa3150fa6e4,3602,3475,1797
8eea175a-8185-5a98-b556-0d7cf1bc8851,3025,828,2339
3b91445d-ffba-5537-bed8-8cb5148b38f5,3253,827,3474
8d9b5d8f-1052-5a32-95b9-fcc90e457c49,3602,2752,2794
9b395f6f-2466-58a9-a258-9a556b8fc20b,828,3473,2794
6881ea8b-243e-5ff3-8cbc-80a143afee1c,828,181,3483
1ca520af-f8c7-5674-96d3-d56d2f102515,3553,3611,3476
e9f614c5-54c3-50fc-9dcd-b18bdd432884,1655,2794,3472
3fc35341-75c3-51f3-97e4-4d9c8263e9e9,3472,181,1655
1ec35e03-3e61-5f73-9717-312ecad8b762,3611,3474,3607
e627f29f-e094-5fb5-b401-31ac69c5644b,3478,2393,3474
08e58545-a91c-5cca-b6f6-7839d129e59d,3611,3478,3475
73689c52-ce85-5267-ae42-6a4a06bcb1f2,3473,3472,1435
1a9ac3d6-ae5c-5522-9bbb-d11f677c9081,3474,3478,3472
a918f2f4-241a-5bb9-9f47-2f7827f8ec20,3607,181,1435
b7479208-a827-5e21-bc43-bcde7c7c87fc,3602,474,3474
50dac85c-e112-518c-9d07-d7d9fdc5b44d,2339,3611,181
4f662b0b-78a1-5a6e-b2a6-3a641f35adad,2339,3475,2752
7b84e6f7-7e3d-56b1-b9e0-81186ef1bf0f,828,3602,3473
c5a28814-c837-53a6-bf94-7548251d047e,3478,828,3473
35281fdb-9e38-59ab-b981-27afc7c95c99,2393,3475,3473
d39ea3ea-0a55-5854-88f7-586a0fe3ba01,2393,3473,3478
5a1a44a3-a5a2-50b6-8792-1b4ac7eeeebf,3474,1044,474
9bba1b24-4127-5c1e-863b-fc565d2c3954,1044,3253,2794
bca4e304-2f15-59ab-b7db-1687a898019c,3475,827,3476
0d0324e2-49bb-5547-a9f5-b2b54e92c0ba,3478,181,827
09cf3bfd-150f-515d-a952-54c12290d1fd,2339,3602,827
9bf4ef88-1967-59de-9189-ea7adf1b6404,3510,3474,3478
f462f6f3-4eb6-57d6-a2fb-a748f81c06a3,1016,3478,474
aca2b054-5b5f-5323-aaa8-17fbc3be6036,3478,3475,3553
21252799-c96a-515d-83d7-044b202acecf,181,3476,3472
6bda3449-f374-5db6-b9fc-d98e122afc68,1016,828,3478
b985a49f-d620-5d87-8c4b-ade34f52d15b,3607,3025,3602
a1c09b0e-f58e-5472-be70-3d2668c4d2bf,2339,3510,3607
32e7da10-003b-56ca-ad71-2c30d15b2c16,3602,1655,474
cb36e649-c612-5648-acea-0df75a86477c,3602,828,3055
c468bdda-e6b7-56e5-abfe-8c4e112f4536,1655,474,3607
c8fa228c-f5d8-5a2f-9df8-1c8d9ac62240,3478,828,3025
707d214e-9a0a-57b2-8699-2109bb0b0292,3476,3607,828
c99badf8-3331-5909-96e7-f3e19ff9a86f,3478,474,1655
12668246-6ff0-57de-a84b-cabba200ba6d,3253,3472,523
dd535fc3-b6af-58c3-b5a0-b20f464670a7,3253,1655,3478
e38f70bb-3b2c-5e11-bbf5-a76a2d54e620,3478,3475,3602
eabb6c99-c2f8-5ffe-b48b-464f44e7bfa6,3473,3475,3055
26b7d678-d7ac-50b9-b7cd-022cf7f93d98,181,2393,1435
92484c87-a725-5152-86bc-f945e696ff52,3553,3602,3478
890ad838-f49c-5cfb-aee3-9fc6af2cd642,3510,3254,181
bd254906-ff6a-5362-8fa7-aae939b0e4aa,181,828,2339
6b4bba1c-9328-5dfe-9de5-c964c0544317,3611,828,3474
4bd42247-08e1-565d-b052-9655d2c5d66e,3602,1435,828
dc5f533b-735c-595b-927b-8c454b3e69b1,1655,828,181
fa57ac40-2de4-5214-99d7-585b41860f14,1016,3478,3253
bec0167e-c55f-5e8e-aedc-af3029f1c6c1,3478,3473,3510
990237af-0136-58f3-ab42-1b5f8747651e,3602,3607,3474
e7e52b7b-5d30-508a-855a-e8b005bc88d8,3478,3483,3510
c8198109-1b58-5c8a-9cd8-750d3acc252b,474,828,3478
8eaa7237-3aa4-56ff-8d12-244939ef158b,1016,3602,828
9092bd42-adf2-55a2-a521-21f97141e514,3607,3611,3475
851a8c55-0616-582a-9553-1073ecdc112d,3611,3607,3478
95ea127e-d004-5ee4-8d9a-7fe0726f5eaa,3607,3478,181
4fb96add-52c7-5cc6-ad6a-bc47a5c7d0c1,3253,3607,3602
34ccbb51-3594-520b-a4bd-016d61a08901,2339,2393,3474
467d906c-c7c0-540e-887b-41d0ea1b929e,3253,828,3553
349d5b46-ab95-5b22-a54f-e56bfb8a5ac4,3611,828,3473
be374897-ba20-5c53-8f43-9fab7922942d,828,3478,3473
ee080963-6555-5cab-9686-fe7beb066c71,828,3607,3553
f4d6e02b-5d66-54b6-8eae-30872f9d4c0a,3607,3473,3478
b6d69717-e7f1-5c85-b68b-06f24f7a3c44,474,1655,2339
79628213-7c5a-51c1-8065-ce669675a546,3478,523,3479
de123905-eace-5767-b11d-0ee3cfc19d86,3510,3474,3602
0a626bc9-f048-558b-8614-86300798311a,1655,828,2339
5dde7b84-fe84-544e-8e0d-3ffcbecaa1c1,3055,1655,3478
45d8e6d2-2e46-5703-89c3-0f0f1077ba03,1435,827,3055
da607268-308d-5ed5-9c86-42351493aa04,3473,1435,3602
a296aed7-76ab-59ba-a868-653b94384623,3474,3607,474
c3e3fd54-14db-510f-997f-9f9a3baa996c,3607,1016,3474
d1639ae3-b780-5bd5-b8cc-32c60f73a219,828,3472,2339
a91a3717-4403-52a5-9987-2339bfc25e29,2339,3055,1971
77e4fc6e-8d42-5ea5-97e0-b4d777334cfa,3607,3474,3510
9c0c7635-9768-519a-a2c4-7c421eda97e0,2339,3510,1655
dceca3a7-90fa-519a-8b3e-597d9d6c4ddd,3479,827,3602
0c6dc465-ea9a-528c-aab8-6a25a23dc746,828,1655,3553
db53f6d4-34ae-5b94-ad5a-04f89d563596,3510,3607,3475
c9ab3d0a-8b06-519d-ba7d-42245e7f566c,3510,3474,1435
fa23ecb0-773c-54d3-9254-d73a94c5199f,3478,3475,474
4b0efe60-1ad0-52e1-9b53-34b76eeff978,181,828,2339
c9cb5324-5b64-5ea4-8039-f5c79ada3784,3475,3476,2339
60a3eced-7e4f-5c9a-bdf3-db218a133c0f,181,186,1655
253b3903-9fec-574f-9b04-72dbcd9b207c,3474,3254,3475
3c160c5c-2972-5e1f-933a-be7bbd756d52,3475,1655,474
fc3fd8f6-9a0f-5ec6-b384-db02a777adad,474,109,828
54cfeb25-9432-5ca0-bab1-277d107abf5e,3602,181,3473
56d0e25c-7fb1-5a9d-bd33-9d7ad55ac6c8,3253,828,181
b14fab22-7cbe-5b08-8ab8-735c68ed043d,3478,3253,3607
1504df86-cbfb-540c-b586-be807be81ecc,3055,3473,3478
4586cf67-6842-5721-8b5d-5274f530d9bb,3473,3472,3055
75a1d486-c384-59dd-ae8c-69547eada9ae,2339,3611,181
3f4e77a9-9e8f-5c29-a359-907cc7dfa5ff,3473,828,3472
a62be8aa-87bf-528a-952a-96684f43ad62,3478,3253,3472
90303e6e-06b6-5143-ab14-1d8ad10e1498,1435,3478,3553
d40378a4-388d-59b8-8df3-4479e613fefa,3474,2393,3602
776f567e-3534-526d-acca-7a6a3e96f099,3472,3611,2752
4626d911-6191-559e-ac41-ebedf0f024a1,2339,3478,3607
aafe06b6-fb4f-5482-a260-722e568f33e2,3472,1400,474
1f894c8b-d260-582c-b631-98cb2bd61518,3475,3473,186
a8270b1d-cd9f-5b04-a66c-d8a5d4aabeba,3473,1435,2393
7aec653b-59e7-5fc8-a817-8500405da6c3,3253,3472,1435
5822a0a7-2207-5ecb-8864-3e4d585f8a72,3611,3473,1435
6c61422b-3119-5ab5-908e-6898c54a13a1,3553,1655,3254
930808dd-d028-5c08-b574-58dfbadbb965,3478,181,3254
35056efd-7a8c-57c3-8233-bfedca2a5f69,3478,828,3475
4d3b0499-ad4b-53e3-a95b-1ea4003cc65a,3478,3553,828
3556e08f-68cc-5405-837b-d65acde35138,3474,3607,3478
aeb2ba50-6e97-58f0-8e99-0210db5a596b,3607,181,186
52f3ee6a-36cd-509d-8ffe-52c6fb1cddf7,109,3553,3602
ca8681e4-5aa9-5b3b-b161-15c4a0b4bb72,828,3607,181
ba681589-496f-5f10-8d41-8b070b974df5,3478,3475,828
040ae887-4614-5156-8e95-a6864bc6d802,828,3055,3471
295445a3-c54d-5d94-a938-94afccc60012,3478,3602,828
b070f7a5-c65f-582f-96fe-32206fcf45f7,523,3474,3475
1bc76e0c-4446-59ff-a170-4a0d284e0c39,3478,828,3473
4848b2b5-7e14-54c0-8602-45d675e14d83,3474,523,1435
111876f8-f0e1-5201-8f4e-770661957e7f,3474,3472,3254
4ac4469f-0073-52d6-be4e-58472ea03866,2339,3474,3602
eab784c2-34d5-5ef9-9ff2-9b1b7b6490e1,3473,3607,2339
c5ad3189-04d6-5394-b637-f7201d18efba,3478,3475,3602
da714ff7-4fb5-5218-945b-d5dd234be508,2339,3474,523
0efc0a64-1027-54b8-8a6b-d7a232a8090e,828,523,3472
842812b3-7438-5e5c-82e3-827728514662,3473,828,3602
3549d0b2-be1b-5f13-af79-fc7c57763132,1971,3475,827
930af413-5d53-5169-868d-87e08b075193,3478,2393,2339
6c5b7942-d001-57a2-8ae3-7fdda7a0758b,3475,3473,3254
cffff8ea-fd54-5d25-a4f6-a60a7f6db944,3478,3474,3254
4da9a1c0-93dc-541e-8bb8-05088c37faf1,3478,3510,2393
05c82114-43f6-5841-b6af-17c6768d23cd,3607,828,2339
d17db4de-9a22-5094-89d3-c695ee7bc96e,3253,3602,3055
f1cada5f-59b7-5b0e-93d2-a1cb911de2d9,3510,3553,3475
2acaa7b9-e21e-5992-babb-bde3db6b79d7,3478,2339,828
46bd03af-f3f5-5d36-a76f-c3890f4efb01,3478,2393,3611
66f22ae8-7684-50ee-8181-a93b01943861,3478,3474,474
