user_profile_id,algorithm
ae27c1b0-167e-503b-a4a5-71b7b6afb88e,4
,
e349296d-1684-501c-9e2f-920a8afb5778,0
,
ff7fa99b-005d-5d52-a928-72e0ad4988d4,1
,
cea02b07-8e8b-5793-b153-00ceec0ded1e,2
,
d077efd6-3291-53b1-8978-e1d8ad3fe7e7,3
,
4cccd3aa-097b-587e-a328-4e8e02f09bf5,4
,
9f400bbb-869b-543d-8787-ac061316ce64,0
,
c8cb09e4-3bfb-5372-9d79-f74d00b9d42e,1
,
7e9aa508-1b7c-5158-a750-9b1e27e2b2e5,2
,
10088930-0683-5c66-bb88-14a2cb04e34e,3
,
64fb8006-5738-5400-8629-f51cb774b57a,4
,
5b8edb56-ae82-5c03-907a-d4bc069836b9,0
,
44005130-1d49-5266-b1f3-b64eecdc0a96,1
,
de1a2c5e-d647-5b66-8699-6674d8342c6d,2
,
ca880353-902f-5957-bfef-3ae173ab91da,3
,
42f7c082-fd71-565c-b62f-2ba7660344e7,4
,
58c12233-aa19-598f-bde7-996e4f483166,0
,
c3d45249-51c7-5dec-b71d-3365888f5118,1
,
24618b34-6e86-5454-a863-faba58d4d102,2
,
9dc1e9c2-3e24-5d03-b616-99d405606409,3
,
3d309a64-b224-5273-a438-08912f15f405,4
,
0148f22b-694f-5398-b547-b96d3433f721,0
,
18e8762d-0ffe-5d31-9c6a-839e2ca2b74c,1
,
c2e5fe12-fddf-5890-8cd3-1594b3cdddfd,2
dc80461f-23bb-5606-8058-f4ff2f33fb32,1

