,1,2,3
314,827,3475,3253
315,3483,827,3253
316,3025,109,2752
317,181,3025,2752
318,3483,3168,3253
319,1797,3483,109
320,3025,2752,2315
321,1797,109,3483
322,827,3475,109
323,3483,3253,827
324,3472,3025,2752
325,109,1797,2752
326,3472,1435,3475
327,827,3475,3472
328,181,1797,2752
329,3483,3253,827
330,1797,109,3483
331,3025,2315,2752
332,827,3483,3475
333,3025,2752,2315
334,3025,2752,2315
335,3472,3025,1435
336,181,3025,2752
337,3483,3253,3168
338,827,3475,1400
339,1797,109,2752
340,3025,2752,2315
341,3483,1797,827
342,3483,1797,3253
343,3472,3025,827
344,2752,3025,109
345,827,3475,1435
346,3475,827,3253
347,3483,1797,827
348,3025,3472,2752
349,1797,109,3486
350,827,3483,3475
351,3483,3253,3168
352,1435,3472,3475
353,827,3475,1435
354,827,3475,3253
355,1435,3475,827
356,3483,3253,827
357,1797,109,2752
358,3472,3025,2752
359,827,3475,3483
360,3472,3025,1435
361,3483,827,3253
362,3025,2752,2315
363,827,3475,3472
364,3483,827,3253
365,109,827,3025
366,827,3475,3253
367,3483,3253,827
368,3475,827,1435
369,827,3475,1435
370,1797,3483,3484
371,2752,3025,109
372,827,3483,3475
373,109,2752,3025
374,827,3475,3483
375,827,3483,3475
376,3025,2752,3472
377,827,3475,1400
378,3025,2752,2315
379,827,3475,3483
380,3472,1435,827
381,1797,109,3486
382,2752,181,1797
383,1797,109,827
384,1797,3483,109
385,3472,827,3475
386,1797,109,2752
387,827,3483,3475
388,3483,827,3475
389,1797,109,3486
390,3483,1797,3253
391,3483,827,3253
392,827,3475,1435
393,3472,1435,3475
394,181,2752,1797
395,3483,827,3253
396,109,3025,2752
397,3025,2752,109
398,1797,3483,827
399,3483,827,3253
400,827,3475,109
401,3472,3025,827
402,3483,1797,3253
403,3483,1797,3253
404,827,3475,1400
405,3025,109,2752
406,1797,3483,109
407,3483,3253,827
408,1797,109,2752
409,827,3475,3253
410,827,3475,3472
411,3483,1797,3253
412,3472,1435,827
413,827,3475,1400
414,1797,3483,827
415,3472,1435,3475
416,1797,3483,827
417,1797,109,2752
418,3483,827,3253
419,3483,3253,827
420,827,3475,109
421,827,3475,3253
422,109,1797,2752
423,3025,2752,3472
424,3025,2752,109
425,1797,827,109
426,827,3475,1435
427,109,1797,827
428,3483,3253,1797
429,1797,109,827
430,827,3475,1400
431,3483,827,3253
432,3483,1797,3253
433,3483,827,3253
434,3483,827,3253
435,3025,3472,2752
436,3475,827,1435
437,109,2752,3025
438,1797,109,3486
439,827,3475,3483
440,827,3475,1435
441,3483,3253,827
442,827,3475,3253
443,1797,3483,109
444,3472,827,1435
445,3483,3253,827
446,1797,109,827
447,3483,3253,3168
448,109,3025,2752
449,1797,109,827
450,827,3475,3253
451,3483,3253,827
452,827,3475,1435
453,1797,2752,109
454,109,3025,827
455,3025,2752,2315
456,827,3475,3253
457,3025,3472,523
458,827,3475,3253
459,1797,109,3486
460,1797,109,2752
461,827,109,1797
462,1797,109,3486
463,3483,1797,3253
464,3483,827,1797
465,827,3475,1797
466,3025,3472,2752
467,827,3475,3472
468,3472,827,3475
469,3472,3025,2752
470,3472,1435,3025
471,827,3483,3475
472,827,3472,3475
473,3483,1797,3168
474,1797,827,3483
475,827,3475,3483
476,3472,3025,523
477,827,109,3475
478,3483,1797,827
479,3483,827,3253
480,3475,827,1435
481,1797,109,2752
482,1797,3483,186
483,109,3025,2752
484,3025,2752,2315
485,827,3475,3483
486,3025,2752,2315
487,3025,109,2752
488,827,3475,3483
489,827,3475,3253
490,827,3483,3475
491,3483,1797,827
492,827,3475,1400
493,827,3475,3253
494,827,109,3475
495,3483,1797,827
496,2752,3025,2315
497,827,3475,109
498,3025,2752,109
499,3483,827,3253
500,3025,2752,109
501,827,3475,1400
502,827,3475,3472
503,827,3475,3483
504,3483,3253,827
505,3483,3253,827
506,109,3025,2752
507,827,3483,3475
508,3483,3253,827
509,3483,1797,3168
510,3472,827,3475
511,827,109,3475
512,827,3475,109
513,827,3475,1435
514,3483,3253,827
515,3483,3253,1797
516,827,3475,3472
517,827,3475,3253
518,3025,2752,3472
519,3025,3472,2752
520,3483,1797,3253
521,1797,109,827
522,827,3475,1400
523,827,3475,3253
524,1797,109,3486
525,3472,3025,2752
526,109,3025,2752
527,827,3475,3483
528,827,3475,3483
529,3483,3253,827
530,3483,1797,827
531,1797,109,2752
532,827,3475,3472
533,1797,109,2752
534,1797,109,3486
535,3472,1435,3475
536,3483,1797,3253
537,827,3475,1400
538,1797,827,3483
539,827,3483,3475
540,3025,2752,2315
541,3025,2752,109
542,3483,3253,827
543,3472,3025,1435
544,3483,827,3253
545,1797,109,3483
546,3483,3253,827
547,1797,109,2752
548,3483,827,3253
549,827,3475,109
550,827,3475,3483
551,827,3475,1400
552,827,3475,3253
553,3025,2752,2315
554,827,3475,109
555,1797,109,3486
556,3472,3025,1435
557,1797,109,3483
558,827,3475,3253
