u_id,i_id,rating,timestamp
1,114,1,20/09/1997 6:11
4,94,2,20/09/1997 6:11
5,94,1,20/09/1997 6:11
5,75,1,20/09/1997 6:11
5,1025,1,20/09/1997 6:11
5,151,1,20/09/1997 6:11
5,167,2,20/09/1997 6:11
5,3482,1,20/09/1997 6:11
5,115,2,20/09/1997 6:11
5,3485,1,20/09/1997 6:11
5,153,1,20/09/1997 6:11
5,83,1,20/09/1997 6:11
5,173,1,20/09/1997 6:11
6,97,2,20/09/1997 6:11
6,1025,1,20/09/1997 6:11
6,151,2,20/09/1997 6:11
6,172,1,20/09/1997 6:11
7,106,1,20/09/1997 6:11
9,91,1,20/09/1997 6:11
9,97,1,20/09/1997 6:11
16,115,1,20/09/1997 6:11
18,151,1,20/09/1997 6:11
25,114,1,20/09/1997 6:11
26,151,1,20/09/1997 6:11
28,94,2,20/09/1997 6:11
31,94,2,20/09/1997 6:11
32,75,1,20/09/1997 6:11
34,94,2,20/09/1997 6:11
35,91,1,20/09/1997 6:11
38,3470,1,20/09/1997 6:11
39,2813,1,20/09/1997 6:11
40,83,2,20/09/1997 6:11
46,151,1,20/09/1997 6:11
48,115,2,20/09/1997 6:11
49,115,2,20/09/1997 6:11
50,91,1,20/09/1997 6:11
51,1025,2,20/09/1997 6:11
52,3275,1,20/09/1997 6:11
54,1306,1,20/09/1997 6:11
57,75,2,20/09/1997 6:11
57,523,2,20/09/1997 6:11
59,97,1,20/09/1997 6:11
59,1025,1,20/09/1997 6:11
62,75,1,20/09/1997 6:11
65,75,2,20/09/1997 6:11
65,90,1,20/09/1997 6:11
65,1306,1,20/09/1997 6:11
69,3470,1,20/09/1997 6:11
71,97,2,20/09/1997 6:11
71,75,2,20/09/1997 6:11
72,115,1,20/09/1997 6:11
73,3171,1,20/09/1997 6:11
83,847,1,20/09/1997 6:11
83,3168,1,20/09/1997 6:11
87,75,1,20/09/1997 6:11
88,3171,1,20/09/1997 6:11
88,98,2,20/09/1997 6:11
88,172,1,20/09/1997 6:11
88,159,2,20/09/1997 6:11
88,734,1,20/09/1997 6:11
88,85,2,20/09/1997 6:11
89,91,1,20/09/1997 6:11
96,2992,2,20/09/1997 6:11
97,115,1,20/09/1997 6:11
105,115,1,20/09/1997 6:11
105,87,1,20/09/1997 6:11
106,75,1,20/09/1997 6:11
106,115,1,20/09/1997 6:11
107,91,1,20/09/1997 6:11
107,167,2,20/09/1997 6:11
110,151,1,20/09/1997 6:11
111,167,2,20/09/1997 6:11
112,2062,1,20/09/1997 6:11
115,106,2,20/09/1997 6:11
118,151,2,20/09/1997 6:11
121,75,2,20/09/1997 6:11
126,106,1,20/09/1997 6:11
127,2393,1,20/09/1997 6:11
128,75,2,20/09/1997 6:11
129,91,1,20/09/1997 6:11
130,3481,2,20/09/1997 6:11
132,97,1,20/09/1997 6:11
133,91,2,20/09/1997 6:11
136,3275,1,20/09/1997 6:11
139,172,1,20/09/1997 6:11
139,3275,1,20/09/1997 6:11
140,94,2,20/09/1997 6:11
143,75,1,20/09/1997 6:11
145,97,1,20/09/1997 6:11
146,114,1,20/09/1997 6:11
147,167,2,20/09/1997 6:11
147,3482,1,20/09/1997 6:11
151,94,2,20/09/1997 6:11
156,90,1,20/09/1997 6:11
157,167,1,20/09/1997 6:11
159,3486,1,20/09/1997 6:11
160,151,2,20/09/1997 6:11
160,172,2,20/09/1997 6:11
162,3275,1,20/09/1997 6:11
162,3481,1,20/09/1997 6:11
164,75,2,20/09/1997 6:11
165,115,1,20/09/1997 6:11
170,97,1,20/09/1997 6:11
170,106,1,20/09/1997 6:11
170,734,1,20/09/1997 6:11
172,172,1,20/09/1997 6:11
180,153,1,20/09/1997 6:11
184,106,1,20/09/1997 6:11
189,75,2,20/09/1997 6:11
191,114,1,20/09/1997 6:11
191,3171,1,20/09/1997 6:11
191,151,1,20/09/1997 6:11
192,97,1,20/09/1997 6:11
192,723,1,20/09/1997 6:11
193,97,1,20/09/1997 6:11
194,151,2,20/09/1997 6:11
197,90,1,20/09/1997 6:11
204,172,1,20/09/1997 6:11
205,173,2,20/09/1997 6:11
207,3275,1,20/09/1997 6:11
216,3514,1,20/09/1997 6:11
216,3484,2,20/09/1997 6:11
218,94,2,20/09/1997 6:11
221,3275,1,20/09/1997 6:11
224,153,1,20/09/1997 6:11
226,150,2,20/09/1997 6:11
233,94,1,20/09/1997 6:11
233,115,1,20/09/1997 6:11
233,106,1,20/09/1997 6:11
233,2813,1,20/09/1997 6:11
233,734,1,20/09/1997 6:11
233,217,1,20/09/1997 6:11
